Altium Designer Pick and Place Locations
C:\Users\oldredemption\Documents\Projeky\Altium Projects\USB_tester_somewhat_final2\Project Outputs for USB_tester_somewhat_final2\Pick Place\Pick Place for Main.csv

========================================================================================================================
File Design Information:

Date:       10/10/24
Time:       10:31
Revision:   47e4b594cb78ed93fb4cad76340824dc4a664ca7
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"MH1","Mounting Hole M3","TopLayer","MountingHole_M3","68.0000","4.0000","0",""
"J3","USB-C connector 2","TopLayer","USBC_24PIN_FEMAL_THRUHOLE","65.8550","18.7900","90","CMP-1502-03214-3 <- based on some premade connector"
"J1","USB-C connector 1","TopLayer","USBC_24PIN_FEMAL_THRUHOLE","6.1450","15.2400","270","CMP-1502-03214-3 <- based on some premade connector"
"R3","100 Ohms","TopLayer","RES_0805_2012","28.6250","5.7500","180","RES SMD 100 OHM 1% 1/2W 0805"
"R28","100 Ohms","TopLayer","RES_0805_2012","28.6250","37.7500","180","RES SMD 100 OHM 1% 1/2W 0805"
"J4","USB-A connector","TopLayer","692121030100","13.7900","30.7500","270",""
"D26","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","37.7500","0","LED YELLOW CLEAR SMD"
"R27","100 Ohms","TopLayer","RES_0805_2012","49.2000","18.1591","0","RES SMD 100 OHM 1% 1/2W 0805"
"R26","100 Ohms","TopLayer","RES_0805_2012","49.2000","16.0909","0","RES SMD 100 OHM 1% 1/2W 0805"
"R25","100 Ohms","TopLayer","RES_0805_2012","28.6250","16.0909","180","RES SMD 100 OHM 1% 1/2W 0805"
"R24","100 Ohms","TopLayer","RES_0805_2012","28.6250","18.1591","180","RES SMD 100 OHM 1% 1/2W 0805"
"R23","100 Ohms","TopLayer","RES_0805_2012","49.2000","26.4318","0","RES SMD 100 OHM 1% 1/2W 0805"
"R22","100 Ohms","TopLayer","RES_0805_2012","49.2000","24.3636","0","RES SMD 100 OHM 1% 1/2W 0805"
"R21","100 Ohms","TopLayer","RES_0805_2012","28.6250","7.8182","180","RES SMD 100 OHM 1% 1/2W 0805"
"R20","100 Ohms","TopLayer","RES_0805_2012","28.6250","9.8864","180","RES SMD 100 OHM 1% 1/2W 0805"
"R19","100 Ohms","TopLayer","RES_0805_2012","28.6250","26.4318","180","RES SMD 100 OHM 1% 1/2W 0805"
"R18","100 Ohms","TopLayer","RES_0805_2012","28.6250","24.3636","180","RES SMD 100 OHM 1% 1/2W 0805"
"R17","100 Ohms","TopLayer","RES_0805_2012","49.2000","7.8182","0","RES SMD 100 OHM 1% 1/2W 0805"
"R16","100 Ohms","TopLayer","RES_0805_2012","49.2000","9.8864","0","RES SMD 100 OHM 1% 1/2W 0805"
"R15","100 Ohms","TopLayer","RES_0805_2012","28.6250","20.2273","180","RES SMD 100 OHM 1% 1/2W 0805"
"R14","100 Ohms","TopLayer","RES_0805_2012","49.2000","14.0227","0","RES SMD 100 OHM 1% 1/2W 0805"
"R13","100 Ohms","TopLayer","RES_0805_2012","28.6250","14.0227","180","RES SMD 100 OHM 1% 1/2W 0805"
"R12","100 Ohms","TopLayer","RES_0805_2012","49.2000","20.2273","0","RES SMD 100 OHM 1% 1/2W 0805"
"R11","100 Ohms","TopLayer","RES_0805_2012","28.6250","11.9545","180","RES SMD 100 OHM 1% 1/2W 0805"
"R10","100 Ohms","TopLayer","RES_0805_2012","28.6250","22.2954","180","RES SMD 100 OHM 1% 1/2W 0805"
"R9","100 Ohms","TopLayer","RES_0805_2012","49.2000","11.9545","0","RES SMD 100 OHM 1% 1/2W 0805"
"R8","100 Ohms","TopLayer","RES_0805_2012","49.2000","22.2954","0","RES SMD 100 OHM 1% 1/2W 0805"
"D25","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","18.1591","180","LED YELLOW CLEAR SMD"
"D24","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","16.0909","180","LED YELLOW CLEAR SMD"
"D23","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","16.0909","0","LED YELLOW CLEAR SMD"
"D22","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","18.1591","0","LED YELLOW CLEAR SMD"
"D21","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","26.4320","180","LED YELLOW CLEAR SMD"
"D20","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","24.3640","180","LED YELLOW CLEAR SMD"
"D19","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","7.8182","0","LED YELLOW CLEAR SMD"
"D18","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","9.8864","0","LED YELLOW CLEAR SMD"
"D17","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","26.4318","0","LED YELLOW CLEAR SMD"
"D16","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","24.3636","0","LED YELLOW CLEAR SMD"
"D15","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","7.8182","180","LED YELLOW CLEAR SMD"
"D14","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","9.8864","180","LED YELLOW CLEAR SMD"
"D13","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","20.2273","0","LED YELLOW CLEAR SMD"
"D12","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","14.0227","180","LED YELLOW CLEAR SMD"
"D11","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","14.0227","0","LED YELLOW CLEAR SMD"
"D10","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","20.2273","180","LED YELLOW CLEAR SMD"
"D9","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","11.9545","0","LED YELLOW CLEAR SMD"
"D8","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","22.2954","0","LED YELLOW CLEAR SMD"
"D7","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","11.9545","180","LED YELLOW CLEAR SMD"
"D6","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","22.2954","180","LED YELLOW CLEAR SMD"
"R7","5k1","TopLayer","RES_0805_2012","61.0000","31.0000","180","RES SMD 100 OHM 1% 1/2W 0805"
"R6","5k1","TopLayer","RES_0805_2012","66.0000","31.0000","180","RES SMD 100 OHM 1% 1/2W 0805"
"R5","100 Ohms","TopLayer","RES_0805_2012","36.7500","2.5000","180","RES SMD 100 OHM 1% 1/2W 0805"
"R4","100 Ohms","TopLayer","RES_0805_2012","28.6250","28.5000","180","RES SMD 100 OHM 1% 1/2W 0805"
"R2","100 Ohms","TopLayer","RES_0805_2012","49.2000","5.7500","0","RES SMD 100 OHM 1% 1/2W 0805"
"R1","100 Ohms","TopLayer","RES_0805_2012","49.2000","28.5000","0","RES SMD 100 OHM 1% 1/2W 0805"
"D5","Yellow","TopLayer","LED_0805_2012_YELLOW","40.8000","2.5000","0","LED YELLOW CLEAR SMD"
"D4","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","28.5000","0","LED YELLOW CLEAR SMD"
"D3","Yellow","TopLayer","LED_0805_2012_YELLOW","32.5500","5.7500","0","LED YELLOW CLEAR SMD"
"D2","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","5.7500","180","LED YELLOW CLEAR SMD"
"D1","Yellow","TopLayer","LED_0805_2012_YELLOW","45.2000","28.5000","180","LED YELLOW CLEAR SMD"
"C1","C0805","TopLayer","CAP_0805","65.0000","28.0000","180","Capacitor SMD 0805"
